id,pokemon,species_id,height,weight,base_experience,type_1,type_2,hp,attack,defense,special_attack,special_defense,speed,color_1,color_2,color_f,egg_group_1,egg_group_2,url_icon,generation_id,url_image
46,Paras,46,0.3,5.4,57,bug,grass,35,70,55,45,55,25,#A8B820,#78C850,#9CBB2B,bug,plant,//archives.bulbagarden.net/media/upload/2/28/046MS6.png,1,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/046.png
47,Parasect,47,1.0,29.5,142,bug,grass,60,95,80,60,80,30,#A8B820,#78C850,#9CBB2B,bug,plant,//archives.bulbagarden.net/media/upload/a/a3/047MS6.png,1,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/047.png
48,Venonat,48,1.0,30.0,61,bug,poison,60,55,50,40,55,45,#A8B820,#A040A0,#A69A3F,bug,NA,//archives.bulbagarden.net/media/upload/6/6f/048MS6.png,1,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/048.png
49,Venomoth,49,1.5,12.5,158,bug,poison,70,65,60,90,75,90,#A8B820,#A040A0,#A69A3F,bug,NA,//archives.bulbagarden.net/media/upload/b/b2/049MS6.png,1,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/049.png
50,Diglett,50,0.2,0.8,53,ground,NA,10,55,25,35,45,95,#E0C068,NA,NA,field,NA,//archives.bulbagarden.net/media/upload/b/bf/050MS6.png,1,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/050.png
51,Dugtrio,51,0.7,33.3,149,ground,NA,35,100,50,50,70,120,#E0C068,NA,NA,field,NA,//archives.bulbagarden.net/media/upload/7/79/051MS6.png,1,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/051.png
52,Meowth,52,0.4,4.2,58,normal,NA,40,45,35,40,40,90,#A8A878,NA,NA,field,NA,//archives.bulbagarden.net/media/upload/0/0d/052MS6.png,1,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/052.png
53,Persian,53,1.0,32.0,154,normal,NA,65,70,60,65,65,115,#A8A878,NA,NA,field,NA,//archives.bulbagarden.net/media/upload/1/14/053MS6.png,1,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/053.png
54,Psyduck,54,0.8,19.6,64,water,NA,50,52,48,65,50,55,#6890F0,NA,NA,water1,field,//archives.bulbagarden.net/media/upload/a/a2/054MS6.png,1,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/054.png
55,Golduck,55,1.7,76.6,175,water,NA,80,82,78,95,80,85,#6890F0,NA,NA,water1,field,//archives.bulbagarden.net/media/upload/5/59/055MS6.png,1,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/055.png
56,Mankey,56,0.5,28.0,61,fighting,NA,40,80,35,35,45,70,#C03028,NA,NA,field,NA,//archives.bulbagarden.net/media/upload/8/87/056MS6.png,1,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/056.png
57,Primeape,57,1.0,32.0,159,fighting,NA,65,105,60,60,70,95,#C03028,NA,NA,field,NA,//archives.bulbagarden.net/media/upload/0/01/057MS6.png,1,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/057.png
58,Growlithe,58,0.7,19.0,70,fire,NA,55,70,45,70,50,60,#F08030,NA,NA,field,NA,//archives.bulbagarden.net/media/upload/b/b8/058MS6.png,1,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/058.png
59,Arcanine,59,1.9,155.0,194,fire,NA,90,110,80,100,80,95,#F08030,NA,NA,field,NA,//archives.bulbagarden.net/media/upload/0/04/059MS6.png,1,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/059.png
60,Poliwag,60,0.6,12.4,60,water,NA,40,50,40,40,40,90,#6890F0,NA,NA,water1,NA,//archives.bulbagarden.net/media/upload/1/1e/060MS6.png,1,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/060.png
61,Poliwhirl,61,1.0,20.0,135,water,NA,65,65,65,50,50,90,#6890F0,NA,NA,water1,NA,//archives.bulbagarden.net/media/upload/2/2f/061MS6.png,1,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/061.png
62,Poliwrath,62,1.3,54.0,230,water,fighting,90,95,95,70,90,70,#6890F0,#C03028,#7D78BF,water1,NA,//archives.bulbagarden.net/media/upload/8/88/062MS6.png,1,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/062.png
63,Abra,63,0.9,19.5,62,psychic,NA,25,20,15,105,55,90,#F85888,NA,NA,humanshape,NA,//archives.bulbagarden.net/media/upload/b/b6/063MS6.png,1,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/063.png
64,Kadabra,64,1.3,56.5,140,psychic,NA,40,35,30,120,70,105,#F85888,NA,NA,humanshape,NA,//archives.bulbagarden.net/media/upload/2/21/064MS6.png,1,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/064.png
65,Alakazam,65,1.5,48.0,225,psychic,NA,55,50,45,135,95,120,#F85888,NA,NA,humanshape,NA,//archives.bulbagarden.net/media/upload/1/19/065MS6.png,1,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/065.png
66,Machop,66,0.8,19.5,61,fighting,NA,70,80,50,35,35,35,#C03028,NA,NA,humanshape,NA,//archives.bulbagarden.net/media/upload/5/59/066MS6.png,1,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/066.png
67,Machoke,67,1.5,70.5,142,fighting,NA,80,100,70,50,60,45,#C03028,NA,NA,humanshape,NA,//archives.bulbagarden.net/media/upload/1/19/067MS6.png,1,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/067.png
68,Machamp,68,1.6,130.0,227,fighting,NA,90,130,80,65,85,55,#C03028,NA,NA,humanshape,NA,//archives.bulbagarden.net/media/upload/0/05/068MS6.png,1,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/068.png
69,Bellsprout,69,0.7,4.0,60,grass,poison,50,75,35,70,30,40,#78C850,#A040A0,#81A763,plant,NA,//archives.bulbagarden.net/media/upload/c/c7/069MS6.png,1,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/069.png
70,Weepinbell,70,1.0,6.4,137,grass,poison,65,90,50,85,45,55,#78C850,#A040A0,#81A763,plant,NA,//archives.bulbagarden.net/media/upload/b/b5/070MS6.png,1,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/070.png
71,Victreebel,71,1.7,15.5,221,grass,poison,80,105,65,100,70,70,#78C850,#A040A0,#81A763,plant,NA,//archives.bulbagarden.net/media/upload/6/69/071MS6.png,1,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/071.png
72,Tentacool,72,0.9,45.5,67,water,poison,40,40,35,50,100,70,#6890F0,#A040A0,#757CDC,water3,NA,//archives.bulbagarden.net/media/upload/3/3a/072MS6.png,1,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/072.png
73,Tentacruel,73,1.6,55.0,180,water,poison,80,70,65,80,120,100,#6890F0,#A040A0,#757CDC,water3,NA,//archives.bulbagarden.net/media/upload/e/eb/073MS6.png,1,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/073.png
74,Geodude,74,0.4,20.0,60,rock,ground,40,80,100,30,30,20,#B8A038,#E0C068,#C1A743,mineral,NA,//archives.bulbagarden.net/media/upload/b/b4/074MS6.png,1,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/074.png
75,Graveler,75,1.0,105.0,137,rock,ground,55,95,115,45,45,35,#B8A038,#E0C068,#C1A743,mineral,NA,//archives.bulbagarden.net/media/upload/0/0f/075MS6.png,1,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/075.png
76,Golem,76,1.4,300.0,223,rock,ground,80,120,130,55,65,45,#B8A038,#E0C068,#C1A743,mineral,NA,//archives.bulbagarden.net/media/upload/c/c3/076MS6.png,1,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/076.png
77,Ponyta,77,1.0,30.0,82,fire,NA,50,85,55,65,65,90,#F08030,NA,NA,field,NA,//archives.bulbagarden.net/media/upload/5/5d/077MS6.png,1,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/077.png
78,Rapidash,78,1.7,95.0,175,fire,NA,65,100,70,80,80,105,#F08030,NA,NA,field,NA,//archives.bulbagarden.net/media/upload/0/02/078MS6.png,1,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/078.png
79,Slowpoke,79,1.2,36.0,63,water,psychic,90,65,65,40,40,15,#6890F0,#F85888,#8A82D6,monster,water1,//archives.bulbagarden.net/media/upload/8/82/079MS6.png,1,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/079.png
80,Slowbro,80,1.6,78.5,172,water,psychic,95,75,110,100,80,30,#6890F0,#F85888,#8A82D6,monster,water1,//archives.bulbagarden.net/media/upload/c/cb/080MS6.png,1,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/080.png
81,Magnemite,81,0.3,6.0,65,electric,steel,25,35,70,95,55,45,#F8D030,#B8B8D0,#E8CA56,mineral,NA,//archives.bulbagarden.net/media/upload/6/6e/081MS6.png,1,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/081.png
82,Magneton,82,1.0,60.0,163,electric,steel,50,60,95,120,70,70,#F8D030,#B8B8D0,#E8CA56,mineral,NA,//archives.bulbagarden.net/media/upload/9/9f/082MS6.png,1,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/082.png
83,Farfetch'd,83,0.8,15.0,132,normal,flying,52,90,55,58,62,60,#A8A878,#A890F0,#A8A295,flying,field,//archives.bulbagarden.net/media/upload/0/09/083MS6.png,1,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/083.png
84,Doduo,84,1.4,39.2,62,normal,flying,35,85,45,35,35,75,#A8A878,#A890F0,#A8A295,flying,NA,//archives.bulbagarden.net/media/upload/7/7f/084MS6.png,1,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/084.png
85,Dodrio,85,1.8,85.2,165,normal,flying,60,110,70,60,60,110,#A8A878,#A890F0,#A8A295,flying,NA,//archives.bulbagarden.net/media/upload/8/8a/085MS6.png,1,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/085.png
86,Seel,86,1.1,90.0,65,water,NA,65,45,55,45,70,45,#6890F0,NA,NA,water1,field,//archives.bulbagarden.net/media/upload/d/db/086MS6.png,1,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/086.png
87,Dewgong,87,1.7,120.0,166,water,ice,90,70,80,70,95,70,#6890F0,#98D8D8,#73A1EA,water1,field,//archives.bulbagarden.net/media/upload/f/f7/087MS6.png,1,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/087.png
88,Grimer,88,0.9,30.0,65,poison,NA,80,80,50,40,50,25,#A040A0,NA,NA,indeterminate,NA,//archives.bulbagarden.net/media/upload/2/2a/088MS6.png,1,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/088.png
89,Muk,89,1.2,30.0,175,poison,NA,105,105,75,65,100,50,#A040A0,NA,NA,indeterminate,NA,//archives.bulbagarden.net/media/upload/9/9b/089MS6.png,1,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/089.png
90,Shellder,90,0.3,4.0,61,water,NA,30,65,100,45,25,40,#6890F0,NA,NA,water3,NA,//archives.bulbagarden.net/media/upload/a/ae/090MS6.png,1,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/090.png
91,Cloyster,91,1.5,132.5,184,water,ice,50,95,180,85,45,70,#6890F0,#98D8D8,#73A1EA,water3,NA,//archives.bulbagarden.net/media/upload/8/84/091MS6.png,1,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/091.png
92,Gastly,92,1.3,0.1,62,ghost,poison,30,35,30,100,35,80,#705898,#A040A0,#7B5299,indeterminate,NA,//archives.bulbagarden.net/media/upload/e/e1/092MS6.png,1,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/092.png
93,Haunter,93,1.6,0.1,142,ghost,poison,45,50,45,115,55,95,#705898,#A040A0,#7B5299,indeterminate,NA,//archives.bulbagarden.net/media/upload/6/64/093MS6.png,1,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/093.png
94,Gengar,94,1.5,40.5,225,ghost,poison,60,65,60,130,75,110,#705898,#A040A0,#7B5299,indeterminate,NA,//archives.bulbagarden.net/media/upload/8/87/094MS6.png,1,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/094.png
95,Onix,95,8.8,210.0,77,rock,ground,35,45,160,30,45,70,#B8A038,#E0C068,#C1A743,mineral,NA,//archives.bulbagarden.net/media/upload/3/38/095MS6.png,1,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/095.png
96,Drowzee,96,1.0,32.4,66,psychic,NA,60,48,45,43,90,42,#F85888,NA,NA,humanshape,NA,//archives.bulbagarden.net/media/upload/2/22/096MS6.png,1,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/096.png
97,Hypno,97,1.6,75.6,169,psychic,NA,85,73,70,73,115,67,#F85888,NA,NA,humanshape,NA,//archives.bulbagarden.net/media/upload/2/23/097MS6.png,1,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/097.png
98,Krabby,98,0.4,6.5,65,water,NA,30,105,90,25,25,50,#6890F0,NA,NA,water3,NA,//archives.bulbagarden.net/media/upload/7/72/098MS6.png,1,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/098.png
99,Kingler,99,1.3,60.0,166,water,NA,55,130,115,50,50,75,#6890F0,NA,NA,water3,NA,//archives.bulbagarden.net/media/upload/f/fd/099MS6.png,1,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/099.png
100,Voltorb,100,0.5,10.4,66,electric,NA,40,30,50,55,55,100,#F8D030,NA,NA,mineral,NA,//archives.bulbagarden.net/media/upload/2/2e/100MS6.png,1,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/100.png
101,Electrode,101,1.2,66.6,172,electric,NA,60,50,70,80,80,150,#F8D030,NA,NA,mineral,NA,//archives.bulbagarden.net/media/upload/5/51/101MS6.png,1,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/101.png
102,Exeggcute,102,0.4,2.5,65,grass,psychic,60,40,80,60,45,40,#78C850,#F85888,#97AC5D,plant,NA,//archives.bulbagarden.net/media/upload/4/46/102MS6.png,1,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/102.png
103,Exeggutor,103,2.0,120.0,186,grass,psychic,95,95,85,125,75,55,#78C850,#F85888,#97AC5D,plant,NA,//archives.bulbagarden.net/media/upload/0/0f/103MS6.png,1,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/103.png
104,Cubone,104,0.4,6.5,64,ground,NA,50,50,95,40,50,35,#E0C068,NA,NA,monster,NA,//archives.bulbagarden.net/media/upload/0/05/104MS6.png,1,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/104.png
105,Marowak,105,1.0,45.0,149,ground,NA,60,80,110,50,80,45,#E0C068,NA,NA,monster,NA,//archives.bulbagarden.net/media/upload/2/2f/105MS6.png,1,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/105.png
106,Hitmonlee,106,1.5,49.8,159,fighting,NA,50,120,53,35,110,87,#C03028,NA,NA,humanshape,NA,//archives.bulbagarden.net/media/upload/d/d2/106MS6.png,1,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/106.png
107,Hitmonchan,107,1.4,50.2,159,fighting,NA,50,105,79,35,110,76,#C03028,NA,NA,humanshape,NA,//archives.bulbagarden.net/media/upload/3/33/107MS6.png,1,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/107.png
